cost,accuracy
55.761699999999806,0.30176563014966734
55.416199999999456,0.2995108554476623
56.53969999999972,0.3081423672119617
55.79419999999969,0.30201402932210747
56.38169999999959,0.30680420249250545
56.35219999999979,0.3066369266495614
56.4161999999996,0.3075230959029604
56.278199999999714,0.30566918293179524
55.55619999999963,0.3001853299645828
56.821699999999616,0.3098659850320083
56.51319999999979,0.3077210204852419
56.44919999999979,0.3075906154781253
55.57519999999964,0.3004397911097653
55.52219999999981,0.2997765108982722
56.15069999999981,0.3049793642856524
55.97869999999979,0.30367730325752007
56.280199999999695,0.3061198854371909
55.570199999999744,0.3003731684964107
56.78369999999942,0.3097147309665332
56.1511999999996,0.3049962974540425
56.77719999999957,0.30911153647675316
55.81219999999963,0.3029904101835322
56.62569999999965,0.3089902483673057
56.3786999999997,0.30675448318202714
56.02019999999978,0.30485897582000293
56.15919999999959,0.30540588160218146
56.30169999999958,0.3064056673372822
